#Rice_gene_ID_mapping_and_nomenclature
#Column-1: gene_ID
#Column-2: Synonyms, MSU gene and transcript _ID (all separated by semicolon)
#
gene_ID	Synonym_Symbols	Synonyms_MSU_IDs
LOC_Os01g20060	LOC_Os01g20060.1
LOC_Os01g20070	LOC_Os01g20070.1
LOC_Os01g20080	LOC_Os01g20080.1
LOC_Os01g20090	LOC_Os01g20090.1
LOC_Os01g20130	LOC_Os01g20130.1
LOC_Os01g20140	LOC_Os01g20140.1
LOC_Os01g20150	LOC_Os01g20150.1
LOC_Os01g20170	LOC_Os01g20170.1
LOC_Os01g20190	LOC_Os01g20190.1
LOC_Os01g20200	LOC_Os01g20200.1
LOC_Os01g20710	LOC_Os01g20710.1
LOC_Os01g20760	LOC_Os01g20760.1
LOC_Os01g20770	LOC_Os01g20770.1
LOC_Os01g20800	LOC_Os01g20800.1
LOC_Os01g20810	LOC_Os01g20810.1
LOC_Os01g20820	LOC_Os01g20820.1
LOC_Os01g20870	LOC_Os01g20870.1
LOC_Os01g20920	LOC_Os01g20920.1
LOC_Os01g20960	LOC_Os01g20960.1
LOC_Os01g20990	LOC_Os01g20990.1
LOC_Os01g21000	LOC_Os01g21000.1
LOC_Os01g21010	LOC_Os01g21010.1
LOC_Os01g21060	LOC_Os01g21060.1
LOC_Os01g21080	LOC_Os01g21080.1
LOC_Os01g21090	LOC_Os01g21090.1
LOC_Os01g21100	LOC_Os01g21100.1
LOC_Os01g21110	LOC_Os01g21110.1
LOC_Os01g21190	LOC_Os01g21190.1
LOC_Os01g21200	LOC_Os01g21200.1
LOC_Os01g21210	LOC_Os01g21210.1
LOC_Os01g21220	LOC_Os01g21220.1
LOC_Os01g21260	LOC_Os01g21260.1
LOC_Os01g21270	LOC_Os01g21270.1
LOC_Os01g21340	LOC_Os01g21340.1
LOC_Os01g21350	LOC_Os01g21350.1
LOC_Os01g21360	LOC_Os01g21360.1
LOC_Os01g21390	LOC_Os01g21390.1
LOC_Os01g21400	LOC_Os01g21400.1
LOC_Os01g21430	LOC_Os01g21430.1
LOC_Os01g21480	LOC_Os01g21480.1
LOC_Os01g21490	LOC_Os01g21490.1
LOC_Os01g21500	LOC_Os01g21500.1
LOC_Os01g21510	LOC_Os01g21510.1
LOC_Os01g21530	LOC_Os01g21530.1
LOC_Os01g21536	LOC_Os01g21536.1
LOC_Os01g21542	LOC_Os01g21542.1
LOC_Os01g21550	LOC_Os01g21550.1
LOC_Os01g21600	LOC_Os01g21600.1
LOC_Os01g21660	LOC_Os01g21660.1
LOC_Os01g21680	LOC_Os01g21680.1
LOC_Os01g21690	LOC_Os01g21690.1
LOC_Os01g21700	LOC_Os01g21700.1
LOC_Os01g21720	LOC_Os01g21720.1
LOC_Os01g21730	LOC_Os01g21730.1
LOC_Os01g21760	LOC_Os01g21760.1
LOC_Os01g21790	LOC_Os01g21790.1
LOC_Os01g21840	LOC_Os01g21840.1
LOC_Os01g21950	LOC_Os01g21950.1
LOC_Os01g22050	LOC_Os01g22050.1
LOC_Os01g22070	LOC_Os01g22070.1
LOC_Os01g22110	LOC_Os01g22110.1
LOC_Os01g22120	LOC_Os01g22120.1
LOC_Os01g22140	LOC_Os01g22140.1
LOC_Os01g22150	LOC_Os01g22150.1
LOC_Os01g22170	LOC_Os01g22170.1
LOC_Os01g22180	LOC_Os01g22180.1
LOC_Os01g22190	LOC_Os01g22190.1
LOC_Os01g22200	LOC_Os01g22200.1
LOC_Os01g22220	LOC_Os01g22220.1
LOC_Os01g22270	LOC_Os01g22270.1
LOC_Os01g22280	LOC_Os01g22280.1
LOC_Os01g22300	LOC_Os01g22300.1
LOC_Os01g22309	LOC_Os01g22309.1
LOC_Os01g22320	LOC_Os01g22320.1
LOC_Os01g22410	LOC_Os01g22410.1
LOC_Os01g22420	LOC_Os01g22420.1
LOC_Os01g22450	LOC_Os01g22450.1
LOC_Os01g22530	LOC_Os01g22530.1
LOC_Os01g22540	LOC_Os01g22540.1
LOC_Os01g22620	LOC_Os01g22620.1
LOC_Os01g22650	LOC_Os01g22650.1
LOC_Os01g22680	LOC_Os01g22680.1
LOC_Os01g22700	LOC_Os01g22700.1
LOC_Os01g22730	LOC_Os01g22730.1
LOC_Os01g22740	LOC_Os01g22740.1
LOC_Os01g22750	LOC_Os01g22750.1
LOC_Os01g22760	LOC_Os01g22760.1
LOC_Os01g22770	LOC_Os01g22770.1
LOC_Os01g22794	LOC_Os01g22794.1
LOC_Os01g22810	LOC_Os01g22810.1
LOC_Os01g22820	LOC_Os01g22820.1
LOC_Os01g22830	LOC_Os01g22830.1
LOC_Os01g22840	LOC_Os01g22840.1
LOC_Os01g22850	LOC_Os01g22850.1
LOC_Os01g22860	LOC_Os01g22860.1
LOC_Os01g22880	LOC_Os01g22880.1
LOC_Os01g22890	LOC_Os01g22890.1
LOC_Os01g22930	LOC_Os01g22930.1
LOC_Os01g23000	LOC_Os01g23000.1
LOC_Os01g23010	LOC_Os01g23010.1
LOC_Os01g23020	LOC_Os01g23020.1
LOC_Os01g23040	LOC_Os01g23040.1
LOC_Os01g23050	LOC_Os01g23050.1
LOC_Os01g23060	LOC_Os01g23060.1
